этих, 131, 0.0526223
всем, 131, 0.0526223
тоже, 131, 0.0526223
п, 131, 0.0526223
сказать, 131, 0.0526223
mon, 130, 0.0522206
чего, 130, 0.0522206
которую, 129, 0.0518189
могу, 129, 0.0518189
всего, 128, 0.0514172
вместе, 128, 0.0514172
дом, 128, 0.0514172
чтоб, 126, 0.0506138
тому, 126, 0.0506138
вперед, 126, 0.0506138
прин, 126, 0.0506138
улыба, 125, 0.0502121
хотел, 125, 0.0502121
р, 125, 0.0502121
видимо, 124, 0.0498104
ж, 123, 0.0494087
несмотр, 123, 0.0494087
уж, 122, 0.049007
нас, 122, 0.049007
пр, 121, 0.0486053
ростова, 120, 0.0482036
лица, 119, 0.0478019
разговор, 119, 0.0478019
назад, 118, 0.0474002
отца, 118, 0.0474002
одно, 117, 0.0469985
свои, 117, 0.0469985
эта, 117, 0.0469985
тно, 117, 0.0469985
здесь, 117, 0.0469985
особенно, 117, 0.0469985
офицер, 117, 0.0469985
государь, 116, 0.0465968
которых, 115, 0.0461951
подн, 115, 0.0461951
тот, 114, 0.0457934
котором, 114, 0.0457934
письмо, 114, 0.0457934
les, 114, 0.0457934
вышел, 114, 0.0457934
re, 113, 0.0453917
старый, 113, 0.0453917
много, 113, 0.0453917
il, 112, 0.04499
элен, 112, 0.04499
a, 112, 0.04499
тех, 112, 0.04499
милый, 111, 0.0445883
тут, 110, 0.0441866
гин, 109, 0.0437849
нельз, 109, 0.0437849
зан, 108, 0.0433833
должен, 108, 0.0433833
говорили, 108, 0.0433833
пьеру, 108, 0.0433833
дела, 108, 0.0433833
говор, 108, 0.0433833
смотрел, 107, 0.0429816
ведь, 107, 0.0429816
кроме, 107, 0.0429816
теб, 107, 0.0429816
подумал, 107, 0.0429816
подошел, 107, 0.0429816
кутузов, 105, 0.0421782
друга, 105, 0.0421782
лошадь, 105, 0.0421782
совсем, 105, 0.0421782
солдат, 104, 0.0417765
генерал, 104, 0.0417765
комнаты, 103, 0.0413748
могла, 103, 0.0413748
объ, 103, 0.0413748
состо, 103, 0.0413748
люди, 103, 0.0413748
михайловна, 103, 0.0413748
хот, 103, 0.0413748
та, 102, 0.0409731
тыс, 102, 0.0409731
совершенно, 101, 0.0405714
государ, 101, 0.0405714
свой, 100, 0.0401697
тогда, 100, 0.0401697
жизнь, 100, 0.0401697
лице, 99, 0.039768
св, 99, 0.039768
чувство, 97, 0.0389646
обратилс, 97, 0.0389646
s, 97, 0.0389646
пор, 97, 0.0389646
ne, 96, 0.0385629
той, 96, 0.0385629
знаете, 96, 0.0385629
блест, 95, 0.0381612
n, 95, 0.0381612
кого, 95, 0.0381612
видеть, 95, 0.0381612
одна, 94, 0.0377595
отец, 93, 0.0373578
дома, 93, 0.0373578
какой, 93, 0.0373578
видно, 92, 0.0369561
те, 92, 0.0369561
двери, 92, 0.0369561
делать, 92, 0.0369561
своем, 92, 0.0369561
долго, 92, 0.0369561
ту, 92, 0.0369561
